video_id,ru_id,ru_name,reply_time,reply_content,rm_positive,rn_comment
LthPuLsLzm8,UCDmg9cCisxb5YMSpw5mX0zQ,- gina,2021-08-26 08:26:36,"In the part where Zoe shows the room when it’s done, she’s like fitting in to it so perfectly, because of her clothing 😂😍😍! The room is so nice, just per-fect. ❤️❤️❤️",85,0
LthPuLsLzm8,UCsBVBo6dfabA7Je2b1fRRNw,sussu,2021-08-26 08:26:06,Well done! It looks really pretty :>,1,0
LthPuLsLzm8,UCsvj6sE_iH7IjTbcA7ew11A,jodie xoxo,2021-08-26 08:19:57,This is the loveliest video ever and the room look absolutely beautiful 💛 can I ask where is your purple floral midi dress and your sage dress you had on in the video from? Thank you 😊 xxx,3,0
LthPuLsLzm8,UCRIfjNOmOPSZHYFebpM__VA,Lily Eichelis,2021-08-26 08:15:25,nalas like what’s going on???,3,0
LthPuLsLzm8,UChh0T6RmVfmm05LSJRc6YYg,Becky Williams,2021-08-26 08:07:38,"Aww I love this vlog but I’d be lying if I said I wasn’t going to miss the old style vlogs where you’d go shopping, or do your trips with Mark, your vlogmas etc. I will miss all of them but of course realise people grow up, things change, babies come lol. I don’t like change though 🤣. I love the nursery though, it’s beautiful ☺️",11,0
LthPuLsLzm8,UC1E1L-KT0YiivS2JpASMwdg,April Tumaru,2021-08-26 08:05:59,😍😍,0,0
LthPuLsLzm8,UCUAla6QDYBbsjNAgtMH3IAw,Evie Dobson,2021-08-26 08:02:02,"Long time viewer here... you both look absolutely glowing and just so happy and excited. Alfie can’t even wipe the smile off his face. Makes me so so happy and excited for you!!
Endless congratulations",20,0
LthPuLsLzm8,UClosjM8L6nuuUZLqKhOfl4w,Eric Binta,2021-08-26 07:52:48,Zoe you really need to buy a nice chair for the baby room,2,0
LthPuLsLzm8,UCNAwL8mwQWIl3VGjw2wxsrg,Sarah Löser,2021-08-26 07:40:14,"Assume you would get this comment very often, but i was just at this section of the video... Reeding to your newborn /baby /infant is really importend to develop ther speach and it also gives them quiet time and bonding time with you and in the very beginning they love your voices because they are used to them from hearing them inside the belly❤️",2,0
LthPuLsLzm8,UCyJs4Q4vV5Fwh70lgqUvKfQ,teacupsintokyo,2021-08-26 07:39:58,I love the nursery it’s beautiful and so cosy,0,0
LthPuLsLzm8,UCR-OWGMoQKtM8SDm40fpFcQ,Madeline Speer,2021-08-26 07:38:14,Anyone else realise that this years vlogmas is gonna have baby in it too?!?!!,1,0
LthPuLsLzm8,UCbSKGy_d2mHQmEoinPCr8Xw,Koala ox,2021-08-26 07:36:57,this was everything! looks amazing! and was i the only one who got teary eyed watching them assemble the cot? so crazyyy,1,0
LthPuLsLzm8,UC3xUpWOw09kQhIcPTP4UOPA,wlsvodud,2021-08-26 07:36:56,I'm crying 😭😭😭,0,0
LthPuLsLzm8,UCNEMOQBk_gRUJRxWxsXmdcw,Vicky Gingell,2021-08-26 07:32:59,It’s an amazing Nursery for your little girl.  The wallpaper reminds me of Mini Mouse ears 😂 The vintage dress I thought was lovely before you explained about it. I was going to comment “love the vintage dress”.  Love the Teddybear your Mum bought.  Saw her yesterday and she’s so looking forward to meeting her Granddaughter.  You and Alfie definitely matched the room colours in last shots ❤️❤️❤️❤️❤️❤️🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸,0,0
LthPuLsLzm8,UCmGgbbVZK0JA3Bck53Ul2Xw,Desiree Osterman Makeup,2021-08-26 07:32:03,How wonderful that you're both sharing this time .. its exciting to watch!  Adorable room,0,0
LthPuLsLzm8,UCmuR23KyFlhXQkZCRkWWVew,Jessie Geinitz,2021-08-26 07:25:54,"Just a tip from a childcare worker, I also have a 3 week old, don’t make the room too dark that they learn to only sleep in pitch black, you will want/need your baby to sleep in all different situations and locations, which won’t always be pitch black, and if that’s all they are used too, they won’t sleep, trust me it makes things hard when kids at work won’t sleep because it’s there is some light, and I have no doubt it makes life hard too.",348,0
LthPuLsLzm8,UCBka63doM89g_DSSRA4f1YQ,Chamèl Brouwer,2021-08-26 07:14:46,Omg love the nursery! Every little detail! It just fits and it is amazing to see you guys so excited for your little one! I really wish you a smooth and hopefully easy birth and a walking on clouds feelings for the first few weeks! Love to have seen you guys grow up and now going to be parents! Sending you lots of love ❤️❤️,3,0
LthPuLsLzm8,UCN2x8dvTteuPrbLvZXgXyRQ,JuuGelis BuuGelis,2021-08-26 07:13:21,"top shelf idea: place photos of close friends/family members there, so baby will get familiar with those faces easier ! :)",24,0
LthPuLsLzm8,UCWKP5FxOEDPoLHO0goqJ6BQ,Hee Pogi,2021-08-26 07:12:53,Im  just so happy I am part of this family for almost 10 years now!,2,0
LthPuLsLzm8,UCgDoqReNby5VsEk8feVAsyA,AusGirlJ,2021-08-26 07:06:10,"the thing i loved the most in my nursery was the rocking chair, laying back and rocking a new baby is the best feeling, i feel like it would totally finish off this beautiful room and you can sit back and look around the space you created whilst rocking your baby :) just think its the best feeling personally",167,0
LthPuLsLzm8,UCSZtTsaSv5_pe31wepRE-cg,Olivia Kelly,2021-08-26 07:01:41,don't send the wallpaper back! my brother and i absolutely destroyed our wallpaper when we were kids (he took the same room when he was born and my parents made a different room mine). by the end of him being a toddler it was awful. definitely keep it.,11,0
LthPuLsLzm8,UCricj3YHlcP4tjdz24sv3RA,Sabrina G,2021-08-26 06:55:56,Baby girl is gonna have the NICEST rooms with these two as parents!! She is so lucky <3,15,0
LthPuLsLzm8,UCgHDvFheA9KeUSSo4pBZQlg,Nawmaron,2021-08-26 06:54:47,"I’m so in love with the room, can’t wait to see the little princess 😍👸💜",0,0
LthPuLsLzm8,UCFQ3HahxGJxj2PkL2gDA-bQ,Courtney Gilbert,2021-08-26 06:53:27,"Ahhhh! I feel like Zoe's pregnancy has just zipped on by! Seem's like just yesterday you two were announcing your pregnancy. So incredibly happy for you two. The nursery looks like a dream come true and can't wait for little girl to arrive! Wishing you a speedy and healthy delivery Zoe and Alfie!

If I had any advice to give, this one stuck out to me from my sister when she had my nephew: Internet mama's can be horrendous. They'll constantly be telling you what you're doing wrong and point it out 24/7 which can be upsetting especially with post pregnancy hormones raging. Listen to your body and baby and know you're doing things right and you are trying your hardest because you know your baby best! Obviously you're used to internet trolls but don't let any internet mama bears get in the way of this amazing chapter in yours and Alfie's lives! ❤️ Much love from California! xo",2,0
LthPuLsLzm8,UCc3MRjEiDQequbEvd_u75Yw,D Bu,2021-08-26 06:53:01,"Love u. And oh,can't wait for autumn and christmas videos with a baby!  🤍",3,0
LthPuLsLzm8,UCSFBEqg71oIlmv6bbVLl64g,cassidy acuna,2021-08-26 06:51:44,i love this little family!,0,0
LthPuLsLzm8,UCwZtSsZuCPYHn9L0LbGcNhg,Kashka Kent,2021-08-26 06:49:38,On the very top shelf have her Name ❤️,1,0
LthPuLsLzm8,UCp0ncbp0agRht70JoH9limA,Bravagirl28,2021-08-26 06:48:31,"Love the room your…. Congratulations mom and dad, she is a lucky girl ❤️❤️🙌🙌",0,0
LthPuLsLzm8,UCKJ_LKgc_HOfDVcDD3nShXA,Olivia S,2021-08-26 06:44:50,"Are you going to be sharing her going home outfit, hospital bag, etc at all (before or after she arrives)? I know she's going to have the cutest outfits 😍",0,0
LthPuLsLzm8,UCrrsNKWJt5McVRNn_NwLeNA,Ariana P.,2021-08-26 06:37:08,I still remember when they announced that they were dating 😭♥️,2,0
LthPuLsLzm8,UCy1T_W4wtxNVbk3baKyfZzA,Lourdes Occ,2021-08-26 06:30:26,I love how excited you are 🥰 I’m sure she’s gonna love the room and watching this video when she’s a bit older,5,0
LthPuLsLzm8,UCJU58b4F5D_sf6XFtx7kYSg,Kate S,2021-08-26 06:24:01,Your baby girl is going to have several outfits a day! So many gorgeous clothes....love your nursery and the joy on your faces. Sending you love and  best wishes for a good labour and delivery of your baby girl. Kate 🥰🇦🇺,11,0
LthPuLsLzm8,UCn1rNMqhEQzbJvetze13JmA,V Kelsey,2021-08-26 06:15:58,"This is such a beautiful nursery, it must be so exciting seeing all of the pieces you've picked out or have been given come into place ready for your little one to enjoy. As a September baby myself am with you on the knitwear as the favourite bit! X",16,0
LthPuLsLzm8,UCxhIoianNYrVOFSExkdYnEA,Luna grace,2021-08-26 06:13:52,🥰,0,0
LthPuLsLzm8,UCs0Y3rcnTt6f4AJs_FNT6FA,Dani Nieva,2021-08-26 06:05:24,I like Alfie's teeth,0,0
LthPuLsLzm8,UCHoD4PxsrIXiJS4ZVrFaIOQ,Gemma Clarke,2021-08-26 06:02:27,"I’m not gonna lie, I got really emotional watching this. I’m sat here watching it while my 8 month old little girl sleeps in her room and it’s brought back all the memories of getting her room ready. I cried putting the cot together with my partner cause like you, we were first time parents and it was all so exciting and nerve wracking at the same time. Your little girl is going to love her room, it’s beautiful, thank you so much for sharing this xx",0,0
LthPuLsLzm8,UCGF-GGMy-wL0fekjFYrCGLw,Taylor Jones,2021-08-26 05:58:20,"it is unreal that I have been watching you guys since I was 13, I will be 23 next month, I have watched you both grow together and it is so special to me that you are sharing your parenthood journey with us. I am so excited for you guys, you are going to be wonderful parents <3 I would be lying if I said I wasn't the most emosh when you guys announced that you were going to be parents. also, this time feels like it flew by! She will be here so soon and I cannot wait to find out what name you've given her!! xoxo",13,0
LthPuLsLzm8,UC_6GiSghM3LyUMMxV9G6NMA,Max Chapman,2021-08-26 05:58:06,The white Dulux colour is probably winter mushroom. Its one of the most popular whites we sell and it is pretty grey .,0,0
LthPuLsLzm8,UCaT6V9wgQFi7VA_dcMSyI_w,Torijh,2021-08-26 05:54:27,Such a beautiful room!! Such a lucky baby girl <33,0,0
LthPuLsLzm8,UCUPorywbyG7muOpYl18xqyQ,Ayushi Garg,2021-08-26 05:53:11,"It’s soo soo exciting to see them soo excited! And the fact that their baby girl will be one those lucky ones who get to seee her parents wedding, whenever they decide to get married ❤️❤️🥺🥺  can’t wait to seee her now!!",1,0
LthPuLsLzm8,UCftVlVVvXPIF-vWXeOLuYXg,Kristine Tassanapark,2021-08-26 05:51:21,Ugh can't get over this beautiful nursery!!! & how you guys perfectly match - iconic. Where did you get that jumpsuit in the reveal?? Stunning!!!!,0,0
LthPuLsLzm8,UCtqTUGah8LXbmM_Md00s7OQ,Natalie Harrison-Lim,2021-08-26 05:45:55,"Isn’t it such a weird thought that your kid will be able to watch back all your memories from years ago? No one really has that opportunity, at least the people that are my age since my parents grew up before cellphones existed. So odd thinking that they can literally see you grow before giving birth to them!",1040,0
LthPuLsLzm8,UCTV1XaP5-0B6PfVRUA5X3vA,Anita Shemon,2021-08-26 05:45:27,Such a gorgeous nursery - loved the colour scheme and wallpaper. You've done an amazing job decorating it - I wish it was my room! haha You two will be amazing parents xx,21,0
