artTitle,artDate,artTime,artUrl,artPoster,artCat,commentNum,push,boo,sentence
[問卦]喊「我們一起度過」是什麼心態？,2021/05/20,16:00:24,https://www.ptt.cc/bbs/Gossiping/M.1621526426.A.9C2.html,BuzzerBeater,Gossiping,3,2,0,"乳題啦
小弟我已經很久沒有出遊了
上禮拜五疫情炸開
頓時社群軟體一堆人發了文章
看好了世界系列先不說
很多篇「別出門讓我們一起度過」系列
我就想說  幹啊平常就你們在到處亂跑 啊
山裡跑 海裡跑 南北跑 口口跑
尼瑪的平常沒亂跑的人才不會發這種文咧
到底什麼心態？
有卦嗎？
"
[問卦]當初讓華航倒閉不就好了???,2021/05/20,16:01:53,https://www.ptt.cc/bbs/Gossiping/M.1621526515.A.F9D.html,eddisontw,Gossiping,15,8,1,"搞什麼3+11
說隔離14天華航就要倒了
那華航倒了又怎樣
很了不起嗎
本土疫情死一堆人
跟華航倒閉哪個嚴重
疫情肆虐更多商家受影響
倒閉的公司 無薪假 失業的人不會更多嗎

為什麼當初不讓華航倒閉就好了
機師轉行開統聯也可以啊

有無八卦???
"
[新聞]簡訊實聯制快速好用陳其邁也是幕後「推,2021/05/20,16:02:43,https://www.ptt.cc/bbs/Gossiping/M.1621526566.A.4AF.html,fcfd,Gossiping,98,16,25,"影／簡訊實聯制快速好用 陳其邁也是幕後「推手」！
2021-05-20 12:59 聯合報 / 記者王昭月／ 高雄即時報導
https://reurl.cc/qmM7lR
由政務委員唐鳳操刀的
「簡訊實聯制」
系統5月19日中午上線，民眾拿出手機掃描QR code，
按下連結再回傳即能完成實名登錄，比起過去手寫或掃描再填寫等機制都來得方便，目前廣
泛在全台應用。事實上這套新系統，是出
自高雄市長陳其邁及一卡通票證公司董事長李懷仁
及行政院數位政務委員唐鳳等人發想
，行政院長蘇貞昌也特別讚譽。

全國防疫總動員，目前新版「簡訊實聯制」系統已在各地賣場、餐廳上線，解決過去和種登
記亂象，不只高雄市政府今起更換使用，陳其邁今早視察防疫旅館，拿手機測試一下，彈指
間就完成實名登錄，直呼「這卡好用」。

全台疫情大爆發，人人自危，有民眾發現每次進出公部門，因實聯制或實名制，需共用原子
筆填寫個資，也潛藏感染風險。

高雄市長陳其邁上周視察國中會考考區時即表示，會盡速在1、2天內開發新系統，解決問題
。不久，行政院即發布由唐鳳開發的簡訊實名制系統，目前用過的民眾，都認為方便太多。
高雄市長陳其邁今天表示，以往的實名制系統，掃描後還需填入電話號碼等資料，真的不太
方便，後來他找一卡通董事長李懷仁私下討論，如何將應用在客運業的系統結合QR Code進
行改良運用，且希望能透過公民平台，進行跨縣市使用，之後再與唐鳳商討，最終研發成功
。這套新系統不只使用快速方便，也能掌握使用者在哪個時間，與哪些人接觸。
台北通好用太多了吧 抄暖男不抄阿北的答案這樣好嗎
就算要自己弄 悠遊卡小凱也屌打南部糞卡一卡通啊 ^^
"
Re:[新聞]新北疫情｜中和「方唐鏡」拒戴罩　竟在超,2021/05/20,16:03:43,https://www.ptt.cc/bbs/Gossiping/M.1621526630.A.8CA.html,Pietro,Gossiping,3,3,0,"http://i.imgur.com/e2IX83J.jpg
https://youtu.be/qQ-2sPOCYO8?t=34
請問各位視力2.0的鄉民，這是同一人嗎？

同樣都姓張的樣子？
"
Re:[問卦]你覺得疫情真的跟中共認知作戰有關嗎,2021/05/20,16:03:48,https://www.ptt.cc/bbs/Gossiping/M.1621526636.A.DB8.html,folk0909,Gossiping,7,1,2,"這個就是不管民主和獨裁都會用的招
""內部壓力外部化""
塑造一個外部的敵人，舒緩內部壓力

舉例來說，去年支那疫情嚴重時，
中共通過製造外部衝突，塑造出人民的新的敵人，
那就是台灣，透過不斷的繞台(實際等於對美國挑釁)，侵入我們的防空識別區
，這可以讓中國人不把中共當敵人，並把怒火引導到台灣。

另一個就是美國，在美國疫情嚴重時，
開始塑造支那這個大敵人，紓解內部對政權防疫不當的壓力




-
Sent from JPTT on my Samsung SM-J730GM.
"
[新聞]籲中央告知疫苗何時來、數量？柯：有困難,2021/05/20,16:04:04,https://www.ptt.cc/bbs/Gossiping/M.1621526646.A.222.html,Skynet5566,Gossiping,180,99,12,"備註請放最後面 違者新聞文章刪除

1.媒體來源:
籲中央告知疫苗何時來、數量？柯：有困難要讓我們知道 才能應變

2.記者署名:

 周煊惠
3.完整新聞標題:
籲中央告知疫苗何時來、數量？柯：有困難要讓我們知道 才能應變

4.完整新聞內文:
台北市長柯文哲19日直言，不願意給中央太大壓力，但有時忍不住要講，「到現在為止，
美國沒有賣任何一支疫苗給台灣」。柯文哲今（20）日再呼籲，中央應明確告訴地方疫苗
何時會來、來多少數量、供應速度？假如中央真的有困難，也要讓地方知道，才有辦法應
變。

台灣透過COVAX平台購買的41萬劑牛津AZ疫苗昨日抵台，但加上先前採購的30萬劑疫苗加
起來也只有71萬劑，仍無法應付大量需求。

柯文哲下午於北市疫情相關記者會表示，中央應該明確告訴地方，畢竟地方首長要準備打
疫苗，台北市就260幾萬人口，一人要打2劑，沒想像中容易，若以全台灣2300萬人口來算
，至少要有70%人口打疫苗，每個人還要打2劑。

柯文哲強調，中央還是應明確告訴地方疫苗何時會來？量是多少？供應速度如何？才有辦
法設計打疫苗方法，不然到時候疫苗接不上去，第一劑打完，到了該打第二劑的時間到，
沒疫苗打，是很麻煩的事。

柯文哲重申，他不想給中央壓力，但若疫苗真的中央有困難處，也要讓他們知道，他過去
都想說這應當是國家統一處理，沒自己去外面找疫苗，但是中央若真的有困難讓地方知道
，才有辦法應變。



5.完整新聞連結 (或短網址):
https://newtalk.tw/news/view/2021-05-20/576624
6.備註:
阿北加油!! 打爆貪腐黨
"
Re:[問卦]直接全台封14天會不會比較好,2021/05/20,16:05:37,https://www.ptt.cc/bbs/Gossiping/M.1621526739.A.0E9.html,ludan7972,Gossiping,15,7,0,"我認真跟你說 機會不大
台灣已經進到社區感染
即便你是強制戴口罩+14天頂多是減少
已經杜絕不了了

原因就是病毒已經進到風俗業
日韓疫情爆炸也是從風俗業炸開的

這族群人口組成特別複雜
這些人有本國籍 有外籍 有逃逸的也偷渡的
這些人有個特徵 根本不想鳥你政府
對他們來說 去驗沒確診還好
如果確診了 又需要住院的話 很難付出醫藥費
更別說有的非法身分 去驗還怕直接被抓起來

這種情況下
就會看到有人即便是發燒都要接客
大家再怎麼能忍 還是有人14天就鳥癢
除非等到這一族群達到群體免疫了
才有可能斷掉這塊的傳播鏈
但在這之前可不知道接了多少客都散出去了...

去喝茶的
又一堆死都不講撐到發燒了才肯講
然後又害醫院變院內感染

現在是萬華炸了
但是小姐外逃 估計是散到全國的縣市
零星的都開始會有了傳播鏈進去

這一局怎麼看真的只有打疫苗可以解了
但我們的民進黨政府在國際上根本就沒有談判能力
大部分都是covax平台配發
只有一部分是自己採購來的
真的是很爛....

總之 做好長期抗戰的心理準備吧
但真心不希望看到印度那樣慘況發生在台灣
疫情爆發後的慘況 世界各國都已經示範給你看了
希望大家撐著點

社區感染控制下來之後的情況
大概就是持平上下震盪
防疫久了人也會忍耐也會有到極限
疲累了 鬆懈了 就變多一點
再繃緊一點 又變少一點

加油吧
"
Re:[新聞]蔡英文執政滿5年民進黨列出10大政績,2021/05/20,16:06:49,https://www.ptt.cc/bbs/Gossiping/M.1621526812.A.0FE.html,KTR5566,Gossiping,15,9,1,"那些缺水缺電爆疫情大家都知道的就不提了

要數字治國

給妳人民最有感的數字政績啦

1.查人民水表歷史新高 言論審查政績+1
https://i.imgur.com/jYyjPwi.jpg
2.住宅價格指數歷史新高 房價上漲政績+1
https://i.imgur.com/Rwb9ufH.jpg
3.人口負成長達標 少子化政績+1
https://i.imgur.com/QprIMzz.jpg
4.交通肇事件數新高 少子化政績+2
https://i.imgur.com/BgRwaYl.jpg
5.青少年自殺率創新高 少子化政績+3
https://i.imgur.com/xLJ5m2d.jpg
隨便找就一堆政績數字創歷史新高的啦

至於總統專機載私菸數創新高的我就懶得貼了

一堆歷史新高 大環境爛成這樣

還敢講什麼育兒 講什麼長照 講什麼能源

他媽的都是幹話

放屁


"
[問卦]各位現在以哪種心情看現在疫情？,2021/05/20,16:07:22,https://www.ptt.cc/bbs/Gossiping/M.1621526844.A.F9D.html,frankhsu421,Gossiping,11,2,1,"各位是以哪種心情看待現在疫情情況？

會擔心家人或自己被傳染甚至死亡嗎
不見棺材不掉淚看好戲嗎
覺得台灣爆了在國際上丟臉嗎
苦中作樂嗎
看民進黨的好戲嗎
很火大嗎

有沒有八卦
"
Re:[新聞]蔡英文執政滿5年民進黨列出10大政績,2021/05/20,16:08:08,https://www.ptt.cc/bbs/Gossiping/M.1621526890.A.B47.html,ilw4e,Gossiping,329,245,10,"我覺得政績自己列不太好，應該讓人民幫他列，以下是我覺得
屎黨的十大政績：

1. 砍七天假
「勞工是心中最軟的一塊」，「政府聽不到你可以拍桌子說」，
嗯滿嘴勞權換來砍七天假，你們要自立自強阿

2. 走私菸
告訴人民什麼叫做重新定義，走私叫超買；升官發財就是此路，
菸案被記過被下台的全部事後高升

3. 斷交部
馬英九斷交一國叫窒息外交，屎黨斷了N國叫國際地位最高，外
交部都可以改名斷交部了結果自己吹成談判專家

4. 養網軍
政府自己養網軍害死外交官在roc是前無古人，應該也是後無來者
，綠共黨告訴你政府可以下賤到甚麼程度，可以濫用國家資源到
甚麼程度

5. 大內宣
以前看對岸環時人民日報洗腦韭菜會笑，現在黨媒官媒幹的是一
樣的事，天天配合政府大內宣洗腦韭菜，讓鬼島風向獨步全球

6. 進萊豬
當年喊萊劑0檢出的屎黨大開萊豬大門，連老牛一起放行，從美毒
牛到萊劑好吃只在屎黨一念之間

7. 停水停電
屎黨讓人發現原來有水有電可以用不是理所當然，黨的現代大躍
進讓號稱已開發國家的鬼島可以像非洲一樣缺水缺電

8. 摔飛機撞火車
屎黨執政國軍飛機掉N台，沒打仗已經犧牲多少弟兄，連參謀總
長這三軍第一人都可以摔；台鐵也是幾十年來最大事故，德不配
位

9. 疫情爆
把防疫當政治操作宣傳，玩到最後自己玩爆，之前自以為是全球
唯一淨土，才發現原來只是運氣好

10. 毀公投
屎黨上台以後公投結果參考用，公投不准綁大選，當初為了核四
而設的公投法現在核四真提公投了各種刁難，還想設不合格門檻
讓鬼島以後都沒公投



綠共屎黨靠這些偉大政績帶領鬼島倒退N年，就跟當年紅共文革
大躍進一個樣，鬼島人還傻傻給這垃圾黨第二屆，怨不得人啊
"
